power,distance,status,total_nodes,num_honest,num_jamming,num_unconnected,num_connected,buffer_margin,trustset_configuration,num_connected_components,connected_components,avg_min_distance_jammers
-1.0,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
13.0,N/A,Pass,15625,15624,1,55,15570,15621,True,1,{'Component_1': 15570},N/A
4.0,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
3.5,N/A,Pass,15625,15624,1,4,15621,15621,True,1,{'Component_1': 15621},N/A
7.5,3.0,Fail,15625,0,15625,15625,0,-31251,False,0,{},3.0
8.0,N/A,Pass,15625,15624,1,5,15620,15621,True,1,{'Component_1': 15620},N/A
13.5,239.47442452170128,Fail,15625,15623,2,117,15508,15618,True,15,"{'Component_1': 15460, 'Component_2': 3, 'Component_3': 3, 'Component_4': 2, 'Component_5': 5, 'Component_6': 4, 'Component_7': 5, 'Component_8': 3, 'Component_9': 2, 'Component_10': 2, 'Component_11': 2, 'Component_12': 3, 'Component_13': 5, 'Component_14': 4, 'Component_15': 5}",239.47442452170128
7.0,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
2.5,N/A,Pass,15625,15624,1,4,15621,15621,True,1,{'Component_1': 15621},N/A
13.5,N/A,Pass,15625,15624,1,37,15588,15621,True,1,{'Component_1': 15588},N/A
1.5,N/A,Pass,15625,15624,1,2,15623,15621,True,1,{'Component_1': 15623},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
10.0,N/A,Pass,15625,15624,1,17,15608,15621,True,1,{'Component_1': 15608},N/A
-1.0,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
13.0,N/A,Pass,15625,15624,1,55,15570,15621,True,1,{'Component_1': 15570},N/A
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
7.5,54.78136452449619,Fail,15625,15615,10,98,15527,15594,True,2,"{'Component_1': 15525, 'Component_2': 2}",54.78136452449619
4.5,23.160107530445366,Fail,15625,15508,117,575,15050,15273,True,24,"{'Component_1': 14996, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2, 'Component_5': 2, 'Component_6': 3, 'Component_7': 3, 'Component_8': 2, 'Component_9': 2, 'Component_10': 2, 'Component_11': 2, 'Component_12': 2, 'Component_13': 2, 'Component_14': 4, 'Component_15': 4, 'Component_16': 2, 'Component_17': 2, 'Component_18': 2, 'Component_19': 2, 'Component_20': 4, 'Component_21': 2, 'Component_22': 2, 'Component_23': 2, 'Component_24': 2}",23.160107530445366
4.0,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
8.0,N/A,Pass,15625,15624,1,13,15612,15621,True,1,{'Component_1': 15612},N/A
13.5,N/A,Fail,15625,15624,1,62,15563,15621,True,5,"{'Component_1': 15555, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2, 'Component_5': 2}",N/A
7.0,162.5576820700886,Pass,15625,15623,2,15,15610,15618,True,1,{'Component_1': 15610},162.5576820700886
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
13.5,N/A,Fail,15625,15624,1,63,15562,15621,True,12,"{'Component_1': 15522, 'Component_2': 5, 'Component_3': 4, 'Component_4': 5, 'Component_5': 3, 'Component_6': 2, 'Component_7': 2, 'Component_8': 2, 'Component_9': 3, 'Component_10': 5, 'Component_11': 4, 'Component_12': 5}",N/A
7.5,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
1.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
10.0,N/A,Pass,15625,15624,1,17,15608,15621,True,1,{'Component_1': 15608},N/A
-1.0,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
-1.5,34.054053530213054,Pass,15625,15583,42,46,15579,15498,True,1,{'Component_1': 15579},34.054053530213054
13.0,N/A,Fail,15625,15624,1,54,15571,15621,True,7,"{'Component_1': 15559, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2, 'Component_5': 2, 'Component_6': 2, 'Component_7': 2}",N/A
0.5,N/A,Pass,15625,15624,1,2,15623,15621,True,1,{'Component_1': 15623},N/A
4.5,N/A,Pass,15625,15624,1,5,15620,15621,True,1,{'Component_1': 15620},N/A
4.0,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
8.0,N/A,Pass,15625,15624,1,13,15612,15621,True,1,{'Component_1': 15612},N/A
13.5,N/A,Pass,15625,15624,1,52,15573,15621,True,1,{'Component_1': 15573},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
7.0,N/A,Fail,15625,15624,1,12,15613,15621,True,3,"{'Component_1': 15609, 'Component_2': 2, 'Component_3': 2}",N/A
7.5,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
13.5,N/A,Pass,15625,15624,1,63,15562,15621,True,1,{'Component_1': 15562},N/A
-1.0,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
1.5,191.21192431435858,Pass,15625,15623,2,5,15620,15618,True,1,{'Component_1': 15620},191.21192431435858
0.5,77.14899621350246,Pass,15625,15617,8,22,15603,15600,True,1,{'Component_1': 15603},77.14899621350246
13.0,N/A,Fail,15625,15624,1,54,15571,15621,True,7,"{'Component_1': 15559, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2, 'Component_5': 2, 'Component_6': 2, 'Component_7': 2}",N/A
-1.5,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
2.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
4.5,N/A,Pass,15625,15624,1,5,15620,15621,True,1,{'Component_1': 15620},N/A
7.5,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
3.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
13.5,234.69341703592795,Fail,15625,15623,2,125,15500,15618,True,16,"{'Component_1': 15452, 'Component_2': 2, 'Component_3': 2, 'Component_4': 2, 'Component_5': 2, 'Component_6': 5, 'Component_7': 4, 'Component_8': 5, 'Component_9': 3, 'Component_10': 2, 'Component_11': 2, 'Component_12': 2, 'Component_13': 3, 'Component_14': 5, 'Component_15': 4, 'Component_16': 5}",234.69341703592795
4.0,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
8.0,31.294518891846078,Fail,15625,15562,63,604,15021,15435,True,20,"{'Component_1': 1139, 'Component_2': 3, 'Component_3': 11, 'Component_4': 579, 'Component_5': 3, 'Component_6': 3, 'Component_7': 3035, 'Component_8': 5, 'Component_9': 8468, 'Component_10': 8, 'Component_11': 2, 'Component_12': 594, 'Component_13': 602, 'Component_14': 2, 'Component_15': 2, 'Component_16': 551, 'Component_17': 3, 'Component_18': 3, 'Component_19': 4, 'Component_20': 4}",31.294518891846078
13.5,N/A,Pass,15625,15624,1,63,15562,15621,True,1,{'Component_1': 15562},N/A
2.5,43.80040316615704,Pass,15625,15603,22,62,15563,15558,True,1,{'Component_1': 15563},43.80040316615704
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
7.5,N/A,Fail,15625,15624,1,12,15613,15621,True,3,"{'Component_1': 15609, 'Component_2': 2, 'Component_3': 2}",N/A
13.0,294.44354297555924,Fail,15625,15623,2,52,15573,15618,True,3,"{'Component_1': 15567, 'Component_2': 3, 'Component_3': 3}",294.44354297555924
3.5,N/A,Pass,15625,15624,1,2,15623,15621,True,1,{'Component_1': 15623},N/A
1.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
4.5,N/A,Pass,15625,15624,1,5,15620,15621,True,1,{'Component_1': 15620},N/A
13.5,N/A,Pass,15625,15624,1,52,15573,15621,True,1,{'Component_1': 15573},N/A
-1.5,N/A,Pass,15625,15624,1,1,15624,15621,True,1,{'Component_1': 15624},N/A
4.0,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
8.0,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
13.5,N/A,Fail,15625,15624,1,66,15559,15621,True,9,"{'Component_1': 15533, 'Component_2': 4, 'Component_3': 4, 'Component_4': 3, 'Component_5': 2, 'Component_6': 2, 'Component_7': 4, 'Component_8': 4, 'Component_9': 3}",N/A
0.5,N/A,Pass,15625,15624,1,3,15622,15621,True,1,{'Component_1': 15622},N/A
7.5,N/A,Pass,15625,15624,1,11,15614,15621,True,1,{'Component_1': 15614},N/A
